,Title,Price,PID,Location
167,4 bedroom House for rent Lekki Phase 1 Lekki Lagos," 15,000,000/year ",1KZAG,Lekki Phase 1 Lekki Lagos
168,3 bedroom House for rent Falolu Western Avenue Surulere Lagos," 5,500,000/year ",4LEQU,Falolu Western Avenue Surulere Lagos
169,5 bedroom House for rent Banana Island Ikoyi Lagos," 40,000,000/year ",9KWAH,Banana Island Ikoyi Lagos
170,1 bedroom Flat / Apartment for rent Awolowo way Ikeja Lagos," 1,800,000/year ",2LETX,Awolowo Way Ikeja Lagos
171,1 bedroom Flat / Apartment for rent Awolowo way Ikeja Lagos," 1,800,000/year ",2LETX,Awolowo Way Ikeja Lagos
172,4 bedroom House for rent Ikota Villa Lekki Lagos," 6,000,000/year ",1LBPA,Ikota Villa Lekki Lagos
173,4 bedroom House for rent Lekki Phase 1 Lekki Lagos," 20,000,000 ",3LETQ,Lekki Phase 1 Lekki Lagos
174,4 bedroom House for rent Banana Island Estate Ikoyi Lagos," 28,000,000/year ",2KUXR,Banana Island Estate Ikoyi Lagos
175,3 bedroom House for rent Ikota Lekki Lagos," 4,000,000/year ",0LCWN,Ikota Lekki Lagos
176,3 bedroom House for rent Ikota Lekki Lagos," 3,000,000/year ",2LCVN,Ikota Lekki Lagos
177,1 bedroom Flat / Apartment for rent Akoka Yaba Lagos," 1,300,000/year ",2LEKG,Akoka Yaba Lagos
178,4 bedroom House for rent Ikate Lekki Lagos," 7,000,000/year ",7LBNW,Ikate Lekki Lagos
179,3 bedroom House for rent Ikota Lekki Lagos," 3,500,000/year ",3LCWP,Ikota Lekki Lagos
180,Flat / Apartment for rent Oduduwa Kilo-Marsha Surulere Lagos," 2,500,000/year ",3LAVN,Oduduwa Kilo Marsha Surulere Lagos
181,5 bedroom House for rent Lekki Phase 1 Lekki Lagos," 12,000,000/year ",3KZLF,Lekki Phase 1 Lekki Lagos
182,4 bedroom House for rent Chevron Alternative Lekki Lagos," 6,000,000/year ",3LCVQ,Chevron Alternative Lekki Lagos
183,5 bedroom House for rent Ikate Lekki Lagos," 8,500,000/year ",3LBQE,Ikate Lekki Lagos
184,4 bedroom House for rent Ikota Lekki Lagos," 5,000,000/year ",0LBQG,Ikota Lekki Lagos
185,2 bedroom House for rent Ikate Lekki Lagos," 6,000,000/year ",8LBSK,Ikate Lekki Lagos
186,2 bedroom House for rent Lekki Phase 1 Lekki Lagos," 12,000,000/year ",9LEGM,Lekki Phase 1 Lekki Lagos
187,4 bedroom House for rent Ajah Lagos," 4,500,000/year ",3LCVS,Ajah Lagos
188,4 bedroom House for rent Ajah Lagos," 4,500,000/year ",3LCVS,Ajah Lagos
189,4 bedroom House for rent Ikate Lekki Lagos," 10,000,000/year ",0KZDX,Ikate Lekki Lagos
190,5 bedroom House for rent Old Ikoyi Ikoyi Lagos," 21,000,000/year ",5LENJ,Old Ikoyi Ikoyi Lagos
191,1 bedroom Flat / Apartment for rent Apata Ayobo Ipaja Lagos," 500,000/year ",3LEKC,Apata Ayobo Ipaja Lagos
192,4 bedroom House for rent Ikoyi Lagos," 50,000/year ",4LCVP,Ikoyi Lagos
193,3 bedroom Flat / Apartment for rent Akoka Yaba Lagos," 3,500,000/year ",6LCCS,Akoka Yaba Lagos
194,3 bedroom House for rent Marwa By Pinnacle Filling Station Lekki Phase 1 Lekki Lagos," 8,000,000/year ",2LEBX,Marwa By Pinnacle Filling Station Lekki Phase 1 Lekki Lagos
195,2 bedroom House for rent Ikate Lekki Lagos," 8,000,000/year ",8LBNX,Ikate Lekki Lagos
196,4 bedroom House for rent Ikate Lekki Lagos," 10,000,000/year ",8LENH,Ikate Lekki Lagos
197,3 bedroom House for rent Agungi Lekki Lagos," 4,500,000/year ",5LCLH,Agungi Lekki Lagos
